,V,I_SD VG0
0,-1.0,-9.416679e-08
1,-0.98,-8.709961e-08
2,-0.96,-8.111846e-08
3,-0.94,-7.576923e-08
4,-0.92,-7.067462e-08
5,-0.9,-6.568202e-08
6,-0.88,-6.18224e-08
7,-0.86,-5.774732e-08
8,-0.84,-5.399398e-08
9,-0.8200000000000001,-4.983398e-08
10,-0.8,-4.656419e-08
11,-0.78,-4.362836e-08
12,-0.76,-4.023614e-08
13,-0.74,-3.756853e-08
14,-0.72,-3.459564e-08
15,-0.7,-3.16236e-08
16,-0.6799999999999999,-2.912832e-08
17,-0.6599999999999999,-2.612304e-08
18,-0.64,-2.313278e-08
19,-0.62,-2.078633e-08
20,-0.6,-1.86245e-08
21,-0.5800000000000001,-1.671472e-08
22,-0.56,-1.447203e-08
23,-0.54,-1.208223e-08
24,-0.52,-9.491862e-09
25,-0.5,-7.181538e-09
26,-0.48,-5.844872e-09
27,-0.45999999999999996,-3.974151e-09
28,-0.43999999999999995,-1.312181e-09
29,-0.42000000000000004,1.988442e-10
30,-0.4,1.669716e-09
31,-0.38,3.818072e-09
32,-0.36,5.524361e-09
33,-0.33999999999999997,6.97393e-09
34,-0.31999999999999995,8.617264e-09
35,-0.29999999999999993,9.526829e-09
36,-0.28,1.088434e-08
37,-0.26,1.226994e-08
38,-0.24,1.416947e-08
39,-0.21999999999999997,1.511764e-08
40,-0.19999999999999996,1.558142e-08
41,-0.17999999999999994,1.751432e-08
42,-0.16000000000000003,1.830135e-08
43,-0.14,1.879176e-08
44,-0.12,1.99657e-08
45,-0.09999999999999998,2.133972e-08
46,-0.07999999999999996,2.233468e-08
47,-0.05999999999999994,2.297332e-08
48,-0.040000000000000036,2.386441e-08
49,-0.020000000000000018,2.458e-08
50,0.0,2.523231e-08
51,0.020000000000000018,2.601498e-08
52,0.040000000000000036,2.660645e-08
53,0.06000000000000005,2.728744e-08
54,0.08000000000000007,2.791619e-08
55,0.10000000000000009,2.892743e-08
56,0.1200000000000001,3.002398e-08
57,0.14000000000000012,3.009234e-08
58,0.15999999999999992,3.091453e-08
59,0.17999999999999994,3.109185e-08
60,0.19999999999999996,3.206643e-08
61,0.21999999999999997,3.256124e-08
62,0.24,3.300319e-08
63,0.26,3.372158e-08
64,0.28,3.510978e-08
65,0.30000000000000004,3.510542e-08
66,0.32000000000000006,3.617471e-08
67,0.3400000000000001,3.731465e-08
68,0.3600000000000001,3.807925e-08
69,0.3800000000000001,3.841173e-08
70,0.40000000000000013,3.901211e-08
71,0.41999999999999993,3.965169e-08
72,0.43999999999999995,4.144368e-08
73,0.45999999999999996,4.205927e-08
74,0.48,4.294082e-08
75,0.5,4.388508e-08
76,0.52,4.584254e-08
77,0.54,4.699666e-08
78,0.56,4.862206e-08
79,0.5800000000000001,4.978055e-08
80,0.6000000000000001,5.01636e-08
81,0.6200000000000001,5.222797e-08
82,0.6400000000000001,5.307118e-08
83,0.6600000000000001,5.439378e-08
84,0.6799999999999999,5.563875e-08
85,0.7,5.758826e-08
86,0.72,5.872592e-08
87,0.74,6.070224e-08
88,0.76,6.195329e-08
89,0.78,6.423216e-08
90,0.8,6.554954e-08
91,0.8200000000000001,6.696189e-08
92,0.8400000000000001,6.901357e-08
93,0.8600000000000001,7.12619e-08
94,0.8800000000000001,7.286899e-08
95,0.9000000000000001,7.538234e-08
96,0.9199999999999999,7.755727e-08
97,0.94,7.912443e-08
98,0.96,8.083579e-08
99,0.98,8.266187e-08
100,1.0,8.524621e-08
